日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,300170,6.95,6.66,6.96,6.64,111429,77094676.0,4.59,-4.45,-0.31,1.39
2021-03-31,300170,6.64,6.75,6.8,6.63,68612,47160529.0,2.55,1.35,0.09,0.85
2021-04-01,300170,6.75,6.74,6.84,6.72,39724,27489455.0,1.78,-0.15,-0.01,0.49
2021-04-02,300170,6.76,6.8,6.84,6.71,39267,27282597.0,1.93,0.89,0.06,0.49
2021-04-06,300170,6.79,6.9,6.92,6.79,43213,30347312.0,1.91,1.47,0.1,0.54
2021-04-07,300170,6.88,6.86,6.91,6.8,49880,34963963.0,1.59,-0.58,-0.04,0.62
2021-04-08,300170,6.85,6.71,6.85,6.7,62557,43368122.0,2.19,-2.19,-0.15,0.78
2021-04-09,300170,6.7,6.73,6.78,6.67,51132,35176063.0,1.64,0.3,0.02,0.64
2021-04-12,300170,6.7,6.5,6.72,6.47,90394,60619677.0,3.71,-3.42,-0.23,1.13
2021-04-13,300170,6.53,6.49,6.59,6.46,59008,39436738.0,2.0,-0.15,-0.01,0.74
2021-04-14,300170,6.52,6.55,6.57,6.43,48604,32488887.0,2.16,0.92,0.06,0.61
2021-04-15,300170,6.55,6.57,6.6,6.46,46383,31112965.0,2.14,0.31,0.02,0.58
2021-04-16,300170,6.59,6.76,6.76,6.56,69479,47604586.0,3.04,2.89,0.19,0.87
2021-04-19,300170,6.77,6.86,6.88,6.74,60550,42345574.0,2.07,1.48,0.1,0.75
2021-04-20,300170,6.86,6.8,6.91,6.79,51476,36051554.0,1.75,-0.87,-0.06,0.64
2021-04-21,300170,6.78,6.75,6.84,6.71,39873,27610937.0,1.91,-0.74,-0.05,0.5
2021-04-22,300170,6.76,6.75,6.79,6.69,41055,28343289.0,1.48,0.0,0.0,0.51
2021-04-23,300170,6.67,6.63,6.78,6.58,63958,43458302.0,2.96,-1.78,-0.12,0.8
2021-04-26,300170,6.62,6.57,6.7,6.57,45556,30913515.0,1.96,-0.9,-0.06,0.57
2021-04-27,300170,6.59,6.49,6.6,6.41,64400,42641443.0,2.89,-1.22,-0.08,0.8
2021-04-28,300170,6.49,6.4,6.52,6.4,52429,34572729.0,1.85,-1.39,-0.09,0.65
2021-04-29,300170,6.41,6.43,6.58,6.33,83767,55498047.0,3.91,0.47,0.03,1.04
2021-04-30,300170,6.44,6.27,6.45,6.23,84900,54933612.0,3.42,-2.49,-0.16,1.06
2021-05-06,300170,6.24,6.31,6.34,6.22,52013,33441492.0,1.91,0.64,0.04,0.65
2021-05-07,300170,6.29,6.29,6.38,6.25,50007,32313975.0,2.06,-0.32,-0.02,0.62
2021-05-10,300170,6.3,6.35,6.36,6.27,58818,38082064.0,1.43,0.95,0.06,0.73
2021-05-11,300170,6.31,6.39,6.42,6.29,60882,39694280.0,2.05,0.63,0.04,0.76
2021-05-12,300170,6.39,6.51,6.51,6.32,64977,42924280.0,2.97,1.88,0.12,0.81
2021-05-13,300170,6.45,6.53,6.68,6.44,97757,65958018.0,3.69,0.31,0.02,1.22
2021-05-14,300170,6.55,6.91,6.93,6.5,182096,125420380.0,6.58,5.82,0.38,2.27
2021-05-17,300170,7.29,6.89,7.54,6.89,361321,266350587.0,9.41,-0.29,-0.02,4.5
2021-05-18,300170,6.69,6.73,6.82,6.69,161784,111572074.0,1.89,-2.32,-0.16,2.02
2021-05-19,300170,6.73,6.56,6.77,6.55,148724,100918427.0,3.27,-2.53,-0.17,1.85
2021-05-20,300170,6.57,6.5,6.59,6.42,88760,59074280.0,2.59,-0.91,-0.06,1.11
2021-05-21,300170,6.51,6.52,6.59,6.47,62819,42011772.0,1.85,0.31,0.02,0.78
2021-05-24,300170,6.53,6.78,6.82,6.47,136811,93221871.0,5.37,3.99,0.26,1.7
2021-05-25,300170,6.74,6.75,6.77,6.66,98823,67965027.0,1.62,-0.44,-0.03,1.23
2021-05-26,300170,6.74,6.76,6.89,6.72,113608,79047699.0,2.52,0.15,0.01,1.42
2021-05-27,300170,6.78,6.9,6.97,6.75,122629,85792701.0,3.25,2.07,0.14,1.53
2021-05-28,300170,6.87,6.81,6.91,6.76,105734,73539098.0,2.17,-1.3,-0.09,1.32
2021-05-31,300170,6.83,6.94,6.98,6.76,119339,83684549.0,3.23,1.91,0.13,1.49
