日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,2383,6.0,6.31,6.31,5.88,297583,181710450.0,7.49,9.93,0.57,5.15
2021-03-31,2383,6.58,6.27,6.94,6.13,604028,398744128.0,12.84,-0.63,-0.04,10.46
2021-04-01,2383,5.99,6.05,6.27,5.88,338114,205488472.0,6.22,-3.51,-0.22,5.86
2021-04-02,2383,5.99,5.88,6.1,5.82,258666,152770914.0,4.63,-2.81,-0.17,4.48
2021-04-06,2383,5.87,5.78,5.89,5.76,179994,104571997.0,2.21,-1.7,-0.1,3.12
2021-04-07,2383,5.8,5.84,5.88,5.66,193169,110959808.0,3.81,1.04,0.06,3.35
2021-04-08,2383,5.79,6.42,6.42,5.7,282521,172524748.0,12.33,9.93,0.58,4.89
2021-04-09,2383,6.4,6.48,6.8,6.24,477876,312666784.0,8.72,0.93,0.06,8.28
2021-04-12,2383,6.38,6.57,6.59,6.26,276471,178672097.0,5.09,1.39,0.09,4.79
2021-04-13,2383,6.49,6.2,6.49,6.09,246476,154273600.0,6.09,-5.63,-0.37,4.27
2021-04-14,2383,6.19,6.17,6.42,6.11,164232,102494231.0,5.0,-0.48,-0.03,2.84
2021-04-15,2383,5.56,5.6,5.82,5.56,259016,147057971.0,4.21,-9.24,-0.57,4.49
2021-04-16,2383,5.57,6.16,6.16,5.52,188592,112152974.0,11.43,10.0,0.56,3.27
2021-04-19,2383,6.78,6.78,6.78,6.48,319319,214871248.0,4.87,10.06,0.62,5.53
2021-04-20,2383,7.23,7.46,7.46,7.17,388609,287791344.0,4.28,10.03,0.68,6.73
2021-04-21,2383,7.07,7.4,7.78,6.8,787692,567168128.0,13.14,-0.8,-0.06,13.64
2021-04-22,2383,7.25,8.14,8.14,7.24,1012500,807866896.0,12.16,10.0,0.74,17.54
2021-04-23,2383,7.56,7.88,8.16,7.4,780280,607229984.0,9.34,-3.19,-0.26,13.52
2021-04-26,2383,8.1,7.1,8.1,7.09,618780,455106240.0,12.82,-9.9,-0.78,10.72
2021-04-27,2383,6.81,6.39,6.89,6.39,444033,290507648.0,7.04,-10.0,-0.71,7.69
2021-04-28,2383,6.32,6.44,6.54,6.28,280576,180227239.0,4.07,0.78,0.05,4.86
2021-04-29,2383,6.4,6.17,6.41,6.15,230867,144002950.0,4.04,-4.19,-0.27,4.0
2021-04-30,2383,6.17,6.22,6.41,6.1,206720,129956694.0,5.02,0.81,0.05,3.58
2021-05-06,2383,6.23,6.45,6.59,6.01,214406,136467966.0,9.32,3.7,0.23,3.71
2021-05-07,2383,6.44,6.3,6.52,6.2,168465,106815680.0,4.96,-2.33,-0.15,2.92
2021-05-10,2383,6.35,6.44,6.53,6.34,159015,102127667.0,3.02,2.22,0.14,2.75
2021-05-11,2383,6.45,7.08,7.08,6.4,292556,203560276.0,10.56,9.94,0.64,5.07
2021-05-12,2383,7.11,7.31,7.49,6.9,493550,356834208.0,8.33,3.25,0.23,8.55
2021-05-13,2383,7.08,7.14,7.26,7.02,267002,190764020.0,3.28,-2.33,-0.17,4.63
2021-05-14,2383,7.18,7.19,7.41,7.05,255815,183701535.0,5.04,0.7,0.05,4.43
2021-05-17,2383,7.19,7.08,7.28,7.01,193662,137162489.0,3.76,-1.53,-0.11,3.35
2021-05-18,2383,6.99,7.17,7.3,6.99,206924,148086431.0,4.38,1.27,0.09,3.58
2021-05-19,2383,6.96,7.08,7.14,6.96,195899,137837657.0,2.51,-1.26,-0.09,3.39
2021-05-20,2383,7.03,6.88,7.08,6.72,170125,116971037.0,5.08,-2.82,-0.2,2.95
2021-05-21,2383,6.88,7.22,7.38,6.83,278525,198611489.0,7.99,4.94,0.34,4.82
2021-05-24,2383,7.48,7.12,7.48,7.05,196060,140666048.0,5.96,-1.39,-0.1,3.4
2021-05-25,2383,7.06,7.26,7.37,6.95,241844,173576054.0,5.9,1.97,0.14,4.19
2021-05-26,2383,7.22,7.13,7.45,7.06,197042,141587401.0,5.37,-1.79,-0.13,3.41
2021-05-27,2383,7.13,7.09,7.21,7.06,130617,93013044.0,2.1,-0.56,-0.04,2.26
2021-05-28,2383,7.05,7.02,7.13,6.96,130134,91428905.0,2.4,-0.99,-0.07,2.25
2021-05-31,2383,6.99,7.13,7.15,6.9,132498,93550449.0,3.56,1.57,0.11,2.3
2021-06-01,2383,7.04,7.29,7.31,7.04,200692,145576413.0,3.79,2.24,0.16,3.48
2021-06-02,2383,7.28,7.52,7.91,7.04,330251,244111913.0,11.93,3.16,0.23,5.72
2021-06-03,2383,7.45,7.29,7.67,7.28,181375,135037748.0,5.19,-3.06,-0.23,3.14
2021-06-04,2383,7.23,7.1,7.35,7.04,143192,101991401.0,4.25,-2.61,-0.19,2.48
2021-06-07,2383,7.1,7.23,7.38,7.08,101416,73456416.0,4.23,1.83,0.13,1.76
2021-06-08,2383,7.23,7.18,7.23,7.04,118230,83995119.0,2.63,-0.69,-0.05,2.05
2021-06-09,2383,7.15,7.2,7.49,7.0,127271,91944506.0,6.82,0.28,0.02,2.2
2021-06-10,2383,7.15,7.32,7.4,7.08,174279,126340423.0,4.44,1.67,0.12,3.02
2021-06-11,2383,7.33,7.37,7.55,7.24,200171,148058124.0,4.23,0.68,0.05,3.47
2021-06-15,2383,7.42,7.64,7.89,7.24,287755,216468842.0,8.82,3.66,0.27,4.98
2021-06-16,2383,7.65,8.4,8.4,7.48,427697,344028336.0,12.04,9.95,0.76,7.41
2021-06-17,2383,8.82,8.2,9.24,8.19,782478,680005424.0,12.5,-2.38,-0.2,13.55
2021-06-18,2383,7.86,7.79,8.05,7.66,451814,353485520.0,4.76,-5.0,-0.41,7.83
2021-06-21,2383,7.71,8.26,8.43,7.66,448789,361193216.0,9.88,6.03,0.47,7.77
2021-06-22,2383,8.19,8.1,8.21,7.96,301350,242906175.0,3.03,-1.94,-0.16,5.22
2021-06-23,2383,8.1,8.0,8.16,7.93,196930,158195229.0,2.84,-1.23,-0.1,3.41
2021-06-24,2383,7.97,8.07,8.25,7.9,229084,185626665.0,4.38,0.88,0.07,3.97
2021-06-25,2383,7.96,7.78,8.06,7.65,208451,162687617.0,5.08,-3.59,-0.29,3.61
2021-06-28,2383,7.71,7.82,7.96,7.71,103034,80750419.0,3.21,0.51,0.04,1.78
2021-06-29,2383,7.81,7.71,7.95,7.7,90589,70558690.0,3.2,-1.41,-0.11,1.57
