日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,603839,7.46,7.44,7.61,7.41,88439,80030770.0,2.58,-3.88,-0.3,2.21
2021-03-31,603839,7.31,7.52,7.57,7.29,59001,52973757.0,3.76,1.08,0.08,1.47
2021-04-01,603839,7.52,7.58,7.76,7.4,66029,60370591.0,4.79,0.8,0.06,1.65
2021-04-02,603839,7.49,7.69,7.83,7.24,79872,72370242.0,7.78,1.45,0.11,2.0
2021-04-06,603839,7.78,8.62,8.62,7.74,157733,159648269.0,11.44,12.09,0.93,3.94
2021-04-07,603839,9.64,9.64,9.64,9.64,83438,93450571.0,0.0,11.83,1.02,2.09
2021-04-08,603839,9.97,8.79,10.45,8.62,342522,383575504.0,18.98,-8.82,-0.85,8.56
2021-04-09,603839,8.41,7.99,8.49,7.94,180255,174663713.0,6.26,-9.1,-0.8,4.51
2021-04-12,603839,7.8,7.95,8.29,7.79,124393,119131356.0,6.26,-0.5,-0.04,3.11
2021-04-13,603839,7.83,7.62,8.11,7.59,95101,89056002.0,6.54,-4.15,-0.33,2.38
2021-04-14,603839,7.48,7.61,7.77,7.48,58465,53745367.0,3.81,-0.13,-0.01,1.46
2021-04-15,603839,7.82,7.89,8.32,7.79,94628,90789020.0,6.96,3.68,0.28,2.37
2021-04-16,603839,7.64,8.07,8.21,7.6,99866,95097854.0,7.73,2.28,0.18,2.5
2021-04-19,603839,8.04,7.97,8.04,7.79,84108,79471635.0,3.1,-1.24,-0.1,2.1
2021-04-20,603839,7.95,7.72,7.95,7.65,58987,55299554.0,3.76,-3.14,-0.25,1.47
2021-04-21,603839,7.64,7.67,7.82,7.63,34249,31722895.0,2.46,-0.65,-0.05,0.86
2021-04-22,603839,7.72,7.82,8.01,7.72,66314,62498622.0,3.78,1.96,0.15,1.66
2021-04-23,603839,7.82,7.78,8.0,7.64,47815,44683308.0,4.6,-0.51,-0.04,1.2
2021-04-26,603839,7.71,7.98,8.03,7.65,64485,60736091.0,4.88,2.57,0.2,1.61
2021-04-27,603839,8.07,8.93,8.93,8.07,183106,184226900.0,10.78,11.9,0.95,4.58
2021-04-28,603839,8.64,8.69,8.86,8.34,150207,152285237.0,5.82,-2.69,-0.24,3.75
2021-04-29,603839,8.7,8.33,8.75,8.23,112379,112649685.0,5.98,-4.14,-0.36,2.81
2021-04-30,603839,8.25,7.94,8.4,7.84,91693,88274402.0,6.72,-4.68,-0.39,2.29
2021-05-06,603839,7.93,8.0,8.11,7.89,58541,55957082.0,2.77,0.76,0.06,1.46
2021-05-07,603839,7.96,8.29,8.48,7.65,98097,94641998.0,10.38,3.63,0.29,2.45
2021-05-10,603839,8.28,8.67,8.7,8.22,100055,101133991.0,5.79,4.58,0.38,2.5
2021-05-11,603839,8.54,8.48,8.64,8.27,61206,61246497.0,4.27,-2.19,-0.19,1.53
2021-05-12,603839,8.44,8.74,8.83,8.41,62471,63438858.0,4.95,3.07,0.26,1.56
2021-05-13,603839,8.56,8.47,8.72,8.34,60159,60705624.0,4.35,-3.09,-0.27,1.5
2021-05-14,603839,8.54,8.4,8.54,8.32,40252,40139334.0,2.6,-0.83,-0.07,1.01
2021-05-17,603839,8.36,8.1,8.37,7.99,40180,38934717.0,4.52,-3.57,-0.3,1.0
2021-05-18,603839,8.1,8.23,8.36,7.93,47152,45518132.0,5.31,1.6,0.13,1.18
2021-05-19,603839,8.21,8.49,8.56,8.05,60820,60621435.0,6.2,3.16,0.26,1.52
2021-05-20,603839,8.46,8.34,8.54,8.32,42318,42204143.0,2.59,-1.77,-0.15,1.06
2021-05-21,603839,8.29,8.72,8.8,8.28,77566,79185111.0,6.24,4.56,0.38,1.94
2021-05-24,603839,8.67,8.5,8.72,8.44,52884,53362962.0,3.21,-2.52,-0.22,1.32
2021-05-25,603839,8.49,8.57,8.9,8.42,48713,49560167.0,5.65,0.82,0.07,1.22
2021-05-26,603839,8.49,8.41,8.57,8.3,40943,40734371.0,3.15,-1.87,-0.16,1.02
2021-05-27,603839,8.36,8.54,8.54,8.32,30188,30200171.0,2.62,1.55,0.13,0.75
2021-05-28,603839,8.51,8.63,8.74,8.38,55980,56748920.0,4.22,1.05,0.09,1.4
2021-05-31,603839,8.63,8.88,8.91,8.54,68331,70660564.0,4.29,2.9,0.25,1.71
2021-06-01,603839,9.35,8.82,9.36,8.81,109570,116553705.0,6.19,-0.68,-0.06,2.74
2021-06-02,603839,8.84,9.86,9.86,8.84,148900,166932335.0,11.56,11.79,1.04,3.72
2021-06-03,603839,9.84,9.65,10.36,9.32,224009,254430857.0,10.55,-2.13,-0.21,5.6
2021-06-04,603839,9.63,9.64,9.86,9.31,119989,133063020.0,5.7,-0.1,-0.01,3.0
2021-06-07,603839,9.69,9.18,9.72,9.09,98993,103737124.0,6.54,-4.77,-0.46,2.47
2021-06-08,603839,9.08,9.4,9.5,9.02,79481,83576084.0,5.23,2.4,0.22,1.99
2021-06-09,603839,9.2,8.99,9.37,8.93,71522,73245727.0,4.68,-4.36,-0.41,1.79
2021-06-10,603839,8.94,9.02,9.09,8.81,45046,45815048.0,3.11,0.33,0.03,1.13
2021-06-11,603839,9.09,8.6,9.15,8.57,73280,73064806.0,6.43,-4.66,-0.42,1.83
2021-06-15,603839,8.57,8.34,8.57,8.25,42702,40945338.0,3.72,-3.02,-0.26,1.07
