日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,2595,28.87,29.98,30.44,28.72,43251,139766596.0,5.94,3.45,1.0,0.83
2021-03-31,2595,28.38,26.93,28.38,26.73,85837,253791606.0,5.5,-10.17,-3.05,1.64
2021-04-01,2595,26.94,26.39,27.2,25.98,36914,106823581.0,4.53,-2.01,-0.54,0.7
2021-04-02,2595,26.48,26.12,26.5,25.66,25583,73025392.0,3.18,-1.02,-0.27,0.49
2021-04-06,2595,26.18,26.46,26.58,26.16,16541,47826528.0,1.61,1.3,0.34,0.32
2021-04-07,2595,26.26,27.07,27.18,26.08,25893,75895697.0,4.16,2.31,0.61,0.49
2021-04-08,2595,26.7,26.61,27.08,26.11,20044,58404155.0,3.58,-1.7,-0.46,0.38
2021-04-09,2595,26.48,25.9,26.61,25.68,24231,68846041.0,3.49,-2.67,-0.71,0.46
2021-04-12,2595,25.9,26.07,26.12,25.48,17803,50481075.0,2.47,0.66,0.17,0.34
2021-04-13,2595,25.91,26.34,26.47,25.79,21450,61726530.0,2.61,1.04,0.27,0.41
2021-04-14,2595,26.36,27.12,27.37,26.18,35634,104635335.0,4.52,2.96,0.78,0.68
2021-04-15,2595,26.99,27.85,27.95,26.61,25329,75703807.0,4.94,2.69,0.73,0.48
2021-04-16,2595,27.78,27.98,28.13,27.58,20605,62598805.0,1.97,0.47,0.13,0.39
2021-04-19,2595,27.96,28.5,29.07,27.78,30402,94553340.0,4.61,1.86,0.52,0.58
2021-04-20,2595,28.7,28.75,28.98,28.09,34074,105770643.0,3.12,0.88,0.25,0.65
2021-04-21,2595,28.8,28.95,29.16,28.58,22478,70478942.0,2.02,0.7,0.2,0.43
2021-04-22,2595,29.12,29.36,29.62,28.78,22960,73115522.0,2.9,1.42,0.41,0.44
2021-04-23,2595,29.58,28.68,29.67,28.1,23034,72039508.0,5.35,-2.32,-0.68,0.44
2021-04-26,2595,28.73,28.14,28.96,27.98,20372,62878090.0,3.42,-1.88,-0.54,0.39
2021-04-27,2595,27.92,28.08,28.68,27.83,15472,47686247.0,3.02,-0.21,-0.06,0.3
2021-04-28,2595,28.05,27.89,28.76,27.74,22275,68198603.0,3.63,-0.68,-0.19,0.43
2021-04-29,2595,27.89,27.15,27.95,26.89,21321,63465378.0,3.8,-2.65,-0.74,0.41
2021-04-30,2595,27.98,27.58,28.37,27.11,27533,83064809.0,4.64,1.58,0.43,0.53
2021-05-06,2595,27.41,28.56,28.68,27.41,29646,91240335.0,4.6,3.55,0.98,0.57
2021-05-07,2595,28.65,27.29,28.86,27.17,32385,98078841.0,5.92,-4.45,-1.27,0.62
2021-05-10,2595,26.9,25.99,27.05,25.9,40139,115599039.0,4.21,-4.76,-1.3,0.77
2021-05-11,2595,26.15,25.64,26.15,24.83,39907,111376763.0,5.08,-1.35,-0.35,0.76
2021-05-12,2595,25.58,26.33,26.43,25.13,22323,63623752.0,5.07,2.69,0.69,0.43
2021-05-13,2595,26.19,25.87,26.88,25.65,23085,66038339.0,4.67,-1.75,-0.46,0.44
2021-05-14,2595,25.87,26.01,26.07,25.34,19646,55655383.0,2.82,0.54,0.14,0.38
2021-05-17,2595,26.01,26.26,26.72,25.72,20636,59337561.0,3.84,0.96,0.25,0.39
2021-05-18,2595,26.27,25.88,26.48,25.67,26999,76770129.0,3.08,-1.45,-0.38,0.52
2021-05-19,2595,25.67,25.71,26.03,25.49,17407,49135268.0,2.09,-0.66,-0.17,0.33
2021-05-20,2595,25.64,26.1,26.15,25.59,19225,54729566.0,2.18,1.52,0.39,0.37
2021-05-21,2595,26.1,25.71,26.27,25.6,17245,48766190.0,2.57,-1.49,-0.39,0.33
2021-05-24,2595,25.39,25.79,26.11,25.16,19011,53659977.0,3.7,0.31,0.08,0.36
2021-05-25,2595,26.01,25.66,26.01,25.49,26119,73583993.0,2.02,-0.5,-0.13,0.5
2021-05-26,2595,25.78,25.91,25.94,25.53,18258,51590318.0,1.6,0.97,0.25,0.35
