日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,603822,19.67,19.65,19.78,19.37,5961,11927466.0,2.07,-0.96,-0.19,0.81
2021-03-31,603822,19.65,19.54,19.67,19.37,4141,8258134.0,1.53,-0.56,-0.11,0.56
2021-04-01,603822,19.56,19.07,19.7,19.02,6619,13012269.0,3.48,-2.41,-0.47,0.9
2021-04-02,603822,19.14,19.15,19.24,18.74,4088,7923418.0,2.62,0.42,0.08,0.56
2021-04-06,603822,19.27,19.61,19.73,18.99,4427,8832976.0,3.86,2.4,0.46,0.6
2021-04-07,603822,19.6,19.77,19.97,19.58,4016,8097585.0,1.99,0.82,0.16,0.55
2021-04-08,603822,19.93,19.45,19.93,19.4,3452,6903968.0,2.68,-1.62,-0.32,0.47
2021-04-09,603822,19.37,19.4,19.56,19.31,2513,4985648.0,1.29,-0.26,-0.05,0.34
2021-04-12,603822,19.4,19.02,19.53,18.98,2678,5262487.0,2.84,-1.96,-0.38,0.37
2021-04-13,603822,19.06,18.87,19.32,18.67,2775,5390998.0,3.42,-0.79,-0.15,0.38
2021-04-14,603822,19.17,19.29,19.46,18.84,3274,6413869.0,3.29,2.23,0.42,0.45
2021-04-15,603822,19.09,19.07,19.47,18.99,4582,8974976.0,2.49,-1.14,-0.22,0.62
2021-04-16,603822,19.19,19.6,19.66,19.03,5193,10338598.0,3.3,2.78,0.53,0.71
2021-04-19,603822,19.6,19.96,19.96,19.39,4560,9217636.0,2.91,1.84,0.36,0.62
2021-04-20,603822,19.78,19.69,20.56,19.68,4656,9494823.0,4.41,-1.35,-0.27,0.63
2021-04-21,603822,19.86,19.57,19.86,19.42,4275,8539596.0,2.23,-0.61,-0.12,0.58
2021-04-22,603822,19.57,19.29,19.72,19.23,4396,8698973.0,2.5,-1.43,-0.28,0.6
2021-04-23,603822,19.52,19.1,19.52,18.97,3706,7246010.0,2.85,-0.98,-0.19,0.51
2021-04-26,603822,19.13,19.76,20.32,18.97,10131,20412713.0,7.07,3.46,0.66,1.38
