日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,300214,7.34,7.2,7.34,7.16,14978,11198609.0,2.46,-1.64,-0.12,0.41
2021-03-31,300214,7.2,7.27,7.34,7.2,13793,10252368.0,1.94,0.97,0.07,0.38
2021-04-01,300214,7.23,7.27,7.32,7.23,14010,10428750.0,1.24,0.0,0.0,0.38
2021-04-02,300214,7.28,7.27,7.31,7.18,15485,11482378.0,1.79,0.0,0.0,0.42
2021-04-06,300214,7.3,7.4,7.41,7.24,18497,13917732.0,2.34,1.79,0.13,0.51
2021-04-07,300214,7.35,7.41,7.42,7.28,13410,10153325.0,1.89,0.14,0.01,0.37
2021-04-08,300214,7.37,7.35,7.43,7.35,11733,8864218.0,1.08,-0.81,-0.06,0.32
2021-04-09,300214,7.33,7.36,7.38,7.29,15542,11664668.0,1.22,0.14,0.01,0.43
2021-04-12,300214,7.32,7.24,7.39,7.22,13599,10160939.0,2.31,-1.63,-0.12,0.37
2021-04-13,300214,7.32,7.22,7.32,7.19,9538,7069916.0,1.8,-0.28,-0.02,0.26
2021-04-14,300214,7.22,7.3,7.31,7.2,11801,8787555.0,1.52,1.11,0.08,0.32
2021-04-15,300214,7.22,7.29,7.33,7.22,8849,6601495.0,1.51,-0.14,-0.01,0.24
2021-04-16,300214,7.39,7.36,7.39,7.22,13872,10437700.0,2.33,0.96,0.07,0.38
2021-04-19,300214,7.33,7.47,7.48,7.33,21498,16376828.0,2.04,1.49,0.11,0.59
2021-04-20,300214,7.42,7.59,7.62,7.42,32878,25374373.0,2.68,1.61,0.12,0.9
2021-04-21,300214,7.59,7.56,7.69,7.54,34215,26682969.0,1.98,-0.4,-0.03,0.94
2021-04-22,300214,7.61,7.56,7.66,7.53,16203,12552792.0,1.72,0.0,0.0,0.44
2021-04-23,300214,7.59,7.5,7.59,7.45,11592,8892452.0,1.85,-0.79,-0.06,0.32
2021-04-26,300214,7.53,7.43,7.54,7.4,17547,13401205.0,1.87,-0.93,-0.07,0.48
2021-04-27,300214,7.43,7.42,7.5,7.35,13261,10042433.0,2.02,-0.13,-0.01,0.36
2021-04-28,300214,7.54,7.31,7.55,7.28,20203,15237049.0,3.64,-1.48,-0.11,0.55
2021-04-29,300214,7.2,7.22,7.26,7.17,20612,15245202.0,1.23,-1.23,-0.09,0.57
2021-04-30,300214,7.33,7.22,7.33,7.18,11909,8819955.0,2.08,0.0,0.0,0.33
2021-05-06,300214,7.21,7.15,7.3,7.13,12385,9109971.0,2.35,-0.97,-0.07,0.34
2021-05-07,300214,7.19,7.05,7.19,7.03,13909,10103629.0,2.24,-1.4,-0.1,0.38
2021-05-10,300214,7.1,7.1,7.14,7.01,8506,6180986.0,1.84,0.71,0.05,0.23
2021-05-11,300214,7.21,7.08,7.21,7.05,10599,7702225.0,2.25,-0.28,-0.02,0.29
2021-05-12,300214,7.06,7.13,7.18,7.03,12399,9012817.0,2.12,0.71,0.05,0.34
2021-05-13,300214,7.14,7.09,7.2,7.08,16757,12264740.0,1.68,-0.56,-0.04,0.46
2021-05-14,300214,7.15,7.16,7.18,7.12,13565,9942772.0,0.85,0.99,0.07,0.37
2021-05-17,300214,7.22,7.04,7.22,7.02,14910,10867807.0,2.79,-1.68,-0.12,0.41
2021-05-18,300214,7.1,7.03,7.12,7.01,14855,10741371.0,1.56,-0.14,-0.01,0.41
2021-05-19,300214,7.04,7.04,7.06,7.01,16203,11685754.0,0.71,0.14,0.01,0.44
2021-05-20,300214,7.07,6.94,7.07,6.88,19689,14016205.0,2.7,-1.42,-0.1,0.54
2021-05-21,300214,6.91,6.93,6.99,6.89,14618,10396879.0,1.44,-0.14,-0.01,0.4
2021-05-24,300214,6.97,6.87,6.97,6.86,16486,11658128.0,1.59,-0.87,-0.06,0.45
2021-05-25,300214,6.93,6.91,6.93,6.83,18609,13118349.0,1.46,0.58,0.04,0.51
2021-05-26,300214,6.95,6.95,6.98,6.9,18948,13512086.0,1.16,0.58,0.04,0.52
2021-05-27,300214,6.97,7.05,7.05,6.95,17968,12935126.0,1.44,1.44,0.1,0.49
2021-05-28,300214,7.02,7.02,7.09,6.9,21418,15400470.0,2.7,-0.43,-0.03,0.59
2021-05-31,300214,7.07,7.05,7.09,6.99,16202,11669787.0,1.42,0.43,0.03,0.44
2021-06-01,300214,7.02,7.06,7.1,7.0,16584,11981509.0,1.42,0.14,0.01,0.46
2021-06-02,300214,7.01,6.96,7.05,6.94,13027,9335280.0,1.56,-1.42,-0.1,0.36
2021-06-03,300214,6.98,6.91,7.0,6.91,14075,10049699.0,1.29,-0.72,-0.05,0.39
2021-06-04,300214,6.91,7.0,7.02,6.88,16373,11656675.0,2.03,1.3,0.09,0.45
2021-06-07,300214,7.0,7.0,7.05,6.94,10726,7677875.0,1.57,0.0,0.0,0.29
2021-06-08,300214,7.03,6.94,7.03,6.92,9729,6941365.0,1.57,-0.86,-0.06,0.27
2021-06-09,300214,6.94,6.97,7.01,6.9,11999,8578270.0,1.59,0.43,0.03,0.33
2021-06-10,300214,6.97,6.97,6.99,6.91,15128,10780164.0,1.15,0.0,0.0,0.42
2021-06-11,300214,6.99,6.93,6.99,6.91,14600,10404575.0,1.15,-0.57,-0.04,0.4
2021-06-15,300214,6.9,6.74,6.93,6.73,26777,18649926.0,2.89,-2.74,-0.19,0.73
2021-06-16,300214,6.74,6.64,6.76,6.63,15765,10839733.0,1.93,-1.48,-0.1,0.43
2021-06-17,300214,6.64,6.76,6.79,6.59,18944,13060730.0,3.01,1.81,0.12,0.52
2021-06-18,300214,6.79,6.76,6.81,6.71,8260,5719721.0,1.48,0.0,0.0,0.23
2021-06-21,300214,6.76,6.72,6.81,6.7,12042,8328730.0,1.63,-0.59,-0.04,0.33
2021-06-22,300214,6.72,6.7,6.76,6.68,13853,9543136.0,1.19,-0.3,-0.02,0.38
2021-06-23,300214,6.64,7.03,7.27,6.64,73011,52793073.0,9.4,4.93,0.33,2.0
2021-06-24,300214,6.94,6.95,6.98,6.87,27833,19763526.0,1.56,-1.14,-0.08,0.76
2021-06-25,300214,6.95,6.94,6.97,6.9,16756,11919753.0,1.01,-0.14,-0.01,0.46
2021-06-28,300214,6.96,7.12,7.36,6.94,47493,34838224.0,6.05,2.59,0.18,1.3
