日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,600066,9.1,9.28,9.52,8.82,164083,240791524.0,7.65,1.42,0.13,0.74
2021-03-31,600066,9.28,8.85,9.55,8.65,178710,258139191.0,9.7,-4.63,-0.43,0.81
2021-04-01,600066,8.85,8.83,9.45,8.77,154898,225108321.0,7.68,-0.23,-0.02,0.7
2021-04-02,600066,8.82,8.78,8.97,8.68,109761,156962346.0,3.28,-0.57,-0.05,0.5
2021-04-06,600066,8.93,9.08,9.29,8.77,152760,222288029.0,5.92,3.42,0.3,0.69
2021-04-07,600066,9.06,9.0,9.18,8.83,105385,152601452.0,3.85,-0.88,-0.08,0.48
2021-04-08,600066,8.94,8.75,8.95,8.68,154249,220029441.0,3.0,-2.78,-0.25,0.7
2021-04-09,600066,8.79,8.67,8.91,8.6,74603,105906123.0,3.54,-0.91,-0.08,0.34
2021-04-12,600066,8.67,8.6,8.8,8.52,104986,148554681.0,3.23,-0.81,-0.07,0.47
2021-04-13,600066,8.56,8.69,8.78,8.51,74736,105894502.0,3.14,1.05,0.09,0.34
2021-04-14,600066,8.79,9.0,9.06,8.69,117256,169376894.0,4.26,3.57,0.31,0.53
2021-04-15,600066,9.0,9.04,9.12,8.86,107047,155537717.0,2.89,0.44,0.04,0.48
2021-04-16,600066,9.0,9.2,9.29,8.95,125202,183599439.0,3.76,1.77,0.16,0.57
2021-04-19,600066,9.4,9.53,9.69,9.23,189844,284934064.0,5.0,3.59,0.33,0.86
2021-04-20,600066,9.49,9.29,9.76,9.15,182764,271885552.0,6.4,-2.52,-0.24,0.83
2021-04-21,600066,9.11,8.86,9.19,8.8,149259,215287811.0,4.2,-4.63,-0.43,0.67
2021-04-22,600066,8.86,8.72,9.05,8.66,140816,200887634.0,4.4,-1.58,-0.14,0.64
2021-04-23,600066,8.75,8.74,8.8,8.51,184481,260801336.0,3.33,0.23,0.02,0.83
2021-04-26,600066,8.75,8.91,9.15,8.72,140571,203491615.0,4.92,1.95,0.17,0.63
2021-04-27,600066,8.97,8.58,8.99,8.51,88986,125820628.0,5.39,-3.7,-0.33,0.4
2021-04-28,600066,8.45,8.23,8.45,7.81,165049,225043641.0,7.46,-4.08,-0.35,0.75
2021-04-29,600066,8.35,8.03,8.35,7.95,138115,187264203.0,4.86,-2.43,-0.2,0.62
2021-04-30,600066,8.05,8.11,8.18,7.95,67341,91479728.0,2.86,1.0,0.08,0.3
2021-05-06,600066,8.09,7.72,8.16,7.64,139652,186381928.0,6.41,-4.81,-0.39,0.63
2021-05-07,600066,7.79,7.78,8.07,7.52,125935,167823516.0,7.12,0.78,0.06,0.57
2021-05-10,600066,7.78,8.01,8.13,7.78,111107,150080667.0,4.5,2.96,0.23,0.5
2021-05-11,600066,8.01,7.84,8.06,7.65,108400,144216463.0,5.12,-2.12,-0.17,0.49
2021-05-12,600066,7.84,7.97,8.36,7.76,139333,189092958.0,7.65,1.66,0.13,0.63
2021-05-13,600066,7.96,8.02,8.2,7.78,95258,128852892.0,5.27,0.63,0.05,0.43
2021-05-14,600066,8.1,8.4,8.4,8.0,124629,171688817.0,4.99,4.74,0.38,0.56
2021-05-17,600066,8.57,8.41,8.74,8.28,166406,232787471.0,5.48,0.12,0.01,0.75
2021-05-18,600066,8.32,8.56,8.65,8.22,103303,144454616.0,5.11,1.78,0.15,0.47
2021-05-19,600066,8.6,8.74,8.93,8.48,121385,172817322.0,5.26,2.1,0.18,0.55
2021-05-20,600066,8.58,8.46,8.74,8.35,161958,227118850.0,4.46,-3.2,-0.28,0.73
2021-05-21,600066,8.5,8.06,8.5,8.04,153764,202258875.0,5.44,-4.73,-0.4,0.69
2021-05-24,600066,8.06,8.09,8.18,8.01,86892,113669677.0,2.11,0.37,0.03,0.39
2021-05-25,600066,8.15,8.24,8.24,8.02,107760,141660965.0,2.72,1.85,0.15,0.49
2021-05-26,600066,8.42,8.6,9.38,8.42,241725,333393520.0,11.65,4.37,0.36,1.09
