日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,601375,4.49,4.45,4.53,4.44,504103,231090458.0,2.0,-1.11,-0.05,1.46
2021-03-31,601375,4.43,4.39,4.45,4.37,532906,240253832.0,1.8,-1.35,-0.06,1.55
2021-04-01,601375,4.39,4.43,4.43,4.37,427014,192570788.0,1.37,0.91,0.04,1.24
2021-04-02,601375,4.41,4.41,4.43,4.38,383413,173073280.0,1.13,-0.45,-0.02,1.11
2021-04-06,601375,4.42,4.41,4.43,4.4,334652,151386799.0,0.68,0.0,0.0,0.97
2021-04-07,601375,4.42,4.49,4.56,4.39,730875,334936416.0,3.85,1.81,0.08,2.12
2021-04-08,601375,4.46,4.59,4.76,4.46,1872201,887752208.0,6.68,2.23,0.1,5.43
2021-04-09,601375,4.51,4.49,4.54,4.46,973618,448029120.0,1.74,-2.18,-0.1,2.82
2021-04-12,601375,4.47,4.43,4.54,4.43,662047,303431296.0,2.45,-1.34,-0.06,1.92
2021-04-13,601375,4.43,4.37,4.44,4.33,628347,282202704.0,2.48,-1.35,-0.06,1.82
2021-04-14,601375,4.37,4.41,4.42,4.35,443632,199536311.0,1.6,0.92,0.04,1.29
2021-04-15,601375,4.38,4.27,4.39,4.25,898683,396853152.0,3.17,-3.17,-0.14,2.61
2021-04-16,601375,4.26,4.33,4.33,4.25,534404,235560328.0,1.87,1.41,0.06,1.55
2021-04-19,601375,4.32,4.43,4.45,4.31,780850,351282016.0,3.23,2.31,0.1,2.26
2021-04-20,601375,4.43,4.37,4.48,4.36,679543,307313120.0,2.71,-1.35,-0.06,1.97
2021-04-21,601375,4.41,4.46,4.51,4.41,1064044,486207776.0,2.29,2.06,0.09,3.09
2021-04-22,601375,4.46,4.4,4.5,4.38,864428,393809456.0,2.69,-1.35,-0.06,2.51
2021-04-23,601375,4.39,4.37,4.4,4.32,512654,228824424.0,1.82,-0.68,-0.03,1.49
2021-04-26,601375,4.35,4.31,4.39,4.29,576162,256529444.0,2.29,-1.37,-0.06,1.67
2021-04-27,601375,4.28,4.28,4.32,4.23,605878,265225918.0,2.09,-0.7,-0.03,1.76
2021-04-28,601375,4.26,4.3,4.3,4.24,301459,131964793.0,1.4,0.47,0.02,0.87
2021-04-29,601375,4.27,4.37,4.41,4.27,752019,336261312.0,3.26,1.63,0.07,2.18
2021-04-30,601375,4.36,4.31,4.37,4.27,610240,269542064.0,2.29,-1.37,-0.06,1.77
2021-05-06,601375,4.35,4.31,4.38,4.29,418571,185346002.0,2.09,0.0,0.0,1.21
2021-05-07,601375,4.3,4.27,4.31,4.25,396214,173868884.0,1.39,-0.93,-0.04,1.15
2021-05-10,601375,4.26,4.29,4.32,4.25,401228,176070312.0,1.64,0.47,0.02,1.16
2021-05-11,601375,4.27,4.35,4.37,4.26,670690,297139152.0,2.56,1.4,0.06,1.95
2021-05-12,601375,4.32,4.34,4.35,4.3,384106,170524852.0,1.15,-0.23,-0.01,1.11
2021-05-13,601375,4.32,4.34,4.37,4.31,412480,183560494.0,1.38,0.0,0.0,1.2
2021-05-14,601375,4.34,4.59,4.63,4.34,2168178,1002496192.0,6.68,5.76,0.25,6.29
2021-05-17,601375,4.53,4.48,4.56,4.44,1243889,573012496.0,2.61,-2.4,-0.11,3.61
2021-05-18,601375,4.47,4.58,4.65,4.46,1242962,583356480.0,4.24,2.23,0.1,3.61
2021-05-19,601375,4.55,4.59,4.72,4.54,1162130,549069840.0,3.93,0.22,0.01,3.37
2021-05-20,601375,4.56,4.8,4.97,4.55,2539145,1231792704.0,9.15,4.58,0.21,7.37
2021-05-21,601375,4.78,4.66,4.78,4.65,1476503,710589552.0,2.71,-2.92,-0.14,4.28
2021-05-24,601375,4.68,4.63,4.77,4.61,1363195,655298224.0,3.43,-0.64,-0.03,3.95
2021-05-25,601375,4.62,4.78,4.87,4.61,1894970,924612912.0,5.62,3.24,0.15,5.5
2021-05-26,601375,4.83,4.76,4.95,4.74,1912244,946326992.0,4.39,-0.42,-0.02,5.55
2021-05-27,601375,4.71,4.76,4.86,4.7,1159748,567032592.0,3.36,0.0,0.0,3.36
2021-05-28,601375,4.74,4.99,5.04,4.69,2518701,1252708896.0,7.35,4.83,0.23,7.31
2021-05-31,601375,5.07,4.95,5.35,4.93,2959327,1537755280.0,8.42,-0.8,-0.04,8.58
2021-06-01,601375,4.89,5.23,5.41,4.87,3663558,1930865728.0,10.91,5.66,0.28,10.63
2021-06-02,601375,5.08,4.96,5.12,4.91,2496199,1279956512.0,4.02,-5.16,-0.27,7.24
2021-06-03,601375,4.94,4.91,5.01,4.88,1447487,731602160.0,2.62,-1.01,-0.05,4.2
2021-06-04,601375,4.91,4.86,5.08,4.76,1942587,972651392.0,6.52,-1.02,-0.05,5.63
2021-06-07,601375,4.81,4.85,4.93,4.79,918571,455703760.0,2.88,-0.21,-0.01,2.66
2021-06-08,601375,4.82,4.88,4.93,4.82,926510,461542736.0,2.27,0.62,0.03,2.69
2021-06-09,601375,4.87,4.78,4.88,4.77,847446,416792368.0,2.25,-2.05,-0.1,2.46
2021-06-10,601375,4.8,4.88,4.97,4.8,1447405,724285248.0,3.56,2.09,0.1,4.2
