策略名称,sc_quick_leave_buy_price,sc_4_red,bc_raise_trend,bc_overyellow,bc_no_upper_shadow,bc_no_lower_shadow,bc_undumping,bc_raise_active_cap,bc_nochase,sc_dumping,start_date,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间,持仓一天收益率(%)
砖型图,True,True,True,True,True,False,False,False,False,True,20240101,504,300,204,59.52,2.5642,1.7,1.51
砖型图,True,False,True,True,True,False,False,False,False,True,20240101,504,297,207,58.93,2.4985,2.2,1.14
砖型图,False,True,True,True,True,False,False,False,False,True,20240101,496,274,222,55.24,2.1344,2.73,0.78
砖型图,False,False,True,True,True,False,False,False,False,True,20240101,493,224,269,45.44,1.5846,3.76,0.42
