code,profit_pct
300502,1658.3428328219995
600605,1305.4399878600002
920641,1210.3026343479996
688585,1032.8929345540002
603226,966.6790143560002
300249,776.6337778259997
301338,771.2549429500001
300972,652.434078402
920225,650.3626875740002
000657,596.3705113520001
688160,585.5943274819997
301489,575.4733454280001
600589,573.9153613440001
002488,509.02434424799986
600415,480.5410184119997
002931,465.4921308899999
000628,439.81578151000014
603256,439.0360074240001
301208,431.48293016000065
920509,430.648815272
300068,430.04622519999987
000620,429.38890138199974
920130,421.6374847779996
002126,419.9156101619999
300476,396.17738933999993
600734,394.4465111799996
300609,394.3652212120002
603958,393.2517489380004
920790,384.0140778199996
603766,374.9749544540001
301137,366.24055178999987
301550,355.51706652999985
603015,353.25212842000036
603099,352.0155345660002
300007,347.36322454199984
688182,346.85842494799977
002837,346.19290988800003
300765,336.21097552400045
301004,329.9645065219996
300389,327.1752412060002
601138,324.8377339060001
688332,319.67778970399985
688353,317.58203649999996
300953,316.254055
920346,314.8773900839997
603221,312.9323226599998
301076,310.5536407580004
300757,307.89590416600004
301005,307.79543480599983
000559,305.7783968960001
002342,303.590305982
688195,302.54340435800003
688347,301.94191928199996
688607,301.89150869799994
300547,300.4288839000002
002290,298.5069101599999
301389,295.75225559000023
920392,293.6794378760001
688205,292.18531274599997
002992,291.7155403659999
002378,290.9589936399999
600629,288.1773066999999
301292,286.99012437399995
301123,286.09850234199956
000899,285.4977402679997
603516,284.6344160299998
002883,283.41744141400034
002789,281.74764629999993
300210,278.22292538400006
605598,272.0647997520001
002407,271.82851763600024
688629,271.4445915800001
002484,270.98175327399986
300503,270.976573526
603196,269.8557564559998
688433,266.19128609599994
920169,264.0743602640002
600331,263.15527653600014
603115,261.4930208960001
688550,257.87501216200013
688361,257.0029366
301061,256.5067704959999
688656,256.2829595620001
300811,256.2813029919999
600865,252.90950144999982
688258,250.77541296200002
300926,250.76069896399983
603829,250.63388709999992
002952,250.54953242599993
603950,249.0688585680002
600601,248.0869606099999
002723,246.88339810800008
002971,244.28660660000006
301377,243.72201196600003
000960,243.34541389599983
002204,240.91591525999996
688517,238.17116679999987
600113,236.72438361199983
301362,236.65279260000005
000688,235.84192713000002
301150,235.63279066199996
920179,234.10046915999996
603998,233.92599859999964
603496,231.88420520000003
600602,230.78280350000048
600579,229.85493033399987
920351,228.3319671760002
300010,227.63856957199954
300660,227.3497248520001
688685,227.03929656400024
002320,226.28064223600006
002150,225.86793875599997
603628,225.75506310000014
688266,224.8873793000001
603069,224.83336417599992
688498,224.60442641199995
301280,224.23560490599976
601699,222.2917408000002
300469,221.7025483059999
603696,220.68199646399972
002667,219.78052113999993
000880,219.2108007200001
688627,218.85270250999992
002292,218.69409681400015
300042,217.99630890599997
002358,217.77911209199988
688362,216.26838852199992
002195,215.56921592799998
603536,215.28006568000004
920701,214.32498519999984
600066,211.93863758600008
600768,211.69288919200008
300394,209.03826550800014
301196,208.76168499999986
300486,208.63468500000005
002501,208.48323871600022
000957,208.35566179599994
002683,207.99254387399992
301329,207.95060883999983
300668,207.50897912599999
600206,207.2217722239998
300710,206.8284201400001
300390,206.79965625599982
920000,206.6383858199999
000510,205.69379039999993
002028,204.88655509999995
300718,204.70032812800008
600105,204.1280477679999
600256,203.1127335260001
300594,202.23243105800017
688710,202.20309
603116,202.03517683400017
603061,201.5544745840001
688502,201.29094133000015
300049,200.60742469200022
603216,199.90896279600017
001288,199.78030312800013
601869,199.00821733600026
301318,198.6857296079999
002083,198.56054310000005
001229,197.78389549999991
002492,197.47197130599986
920001,196.91233073400014
920190,196.87909852999985
002615,194.87097344999998
300738,194.12615575599986
688062,193.4272205279999
603697,192.4105786999998
002244,192.26817866
000048,191.84279900599998
001331,191.66703710400014
605255,191.010425526
300798,190.75178792000017
605011,190.01390380000012
000029,189.84318323600013
301023,189.5964336160001
600336,186.95308873200017
300158,186.16200973200014
002395,184.595667836
603121,184.143479852
603887,183.517916318
688668,182.97720657799974
002569,182.47893093600007
000905,182.18892505
600382,181.96792624999983
600026,181.95058201400042
301119,181.80188052399996
603798,180.7153626920002
300189,180.35915417000024
300275,177.7994628820001
301529,177.784296368
920273,177.7282407539999
603389,177.57319802399985
600689,177.5413564440001
603078,177.42405950599988
603726,176.86117490999996
002472,176.6049457039998
300131,175.85275516800004
920682,175.36907891999996
601606,174.40617289999952
603130,174.3422877999998
301261,174.02313316800036
301345,173.51563067200013
920299,173.4569178599997
688181,173.09186879000018
000737,172.648051782
600873,172.2818678339996
002543,172.21460771000014
000506,171.95867144399992
920396,171.44018605999995
600191,170.94365944000003
301285,169.900649256
301398,168.7933024999999
002265,168.4148552900001
688661,166.02713189199994
000426,165.73648010600013
301000,165.03343787999992
688786,164.48307870399998
002051,164.1850777799996
600724,164.16808582600015
000937,163.74262510799988
605033,163.35370440000025
920770,163.141923582
920753,162.95102755799974
600345,162.06106316400002
605319,161.66106425200022
300022,161.4153041019998
002765,161.38482050000002
001389,160.91169274600017
688418,159.59345883400002
002379,159.1339633239998
301230,159.02228032
600188,158.77462497599987
300147,158.7404911340002
301232,158.5128536799999
301168,158.24040129999997
600539,157.80695067999997
920837,157.53387203599993
301133,157.47781254000003
688578,157.21628250000015
600475,156.10844615599999
600615,155.9781812700001
920748,155.96615830400003
603843,155.69675864999988
688210,154.2658026640004
000417,154.1568112439999
003036,154.07976929800003
301538,153.87449669999992
688197,153.80115595800024
301380,153.6867168000001
603163,153.67438000000004
301182,153.44235209600004
002093,153.41204756800002
600839,153.21985846000007
920375,153.21695048999996
600791,152.78399525000006
001359,152.55195859999998
002128,152.417359348
001330,151.5258064159999
000798,151.09987282799995
688618,151.01240992599978
002909,150.75486479599996
300494,150.64694737000005
301129,150.19157734399982
605258,150.10943194200004
688116,149.3006453999998
002517,149.2515011459997
001209,148.84792789800005
600208,148.82236389999977
002801,147.72016502399995
600650,147.675258
000415,147.35025045999978
603937,146.37330490000042
603529,145.935192942
300063,145.90535053400023
688386,145.76042874800012
920981,145.5396946279999
688646,145.04026364000006
603337,144.71805644400013
002843,144.71550234999998
601089,144.52810199999996
002072,144.5204896999998
603728,144.4351807500007
600103,144.21791247999965
301191,143.88245857999996
301165,143.84266898199985
920925,143.7275535060001
002146,143.53884281400013
601958,143.46223254999998
688082,143.3133142799999
300409,142.82126320000017
301258,142.36599167600022
301313,141.98130815599993
