股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000636,3,1,2,33.33,0,0
000637,1,0,1,0.0,0,0
000638,0,0,0,0.0,0,0
000639,0,0,0,0.0,0,0
000650,0,0,0,0.0,0,0
000651,0,0,0,0.0,0,0
000652,0,0,0,0.0,0,0
000655,0,0,0,0.0,0,0
000656,0,0,0,0.0,0,0
000657,2,1,1,50.0,0,0
000659,1,0,1,0.0,0,0
000661,0,0,0,0.0,0,0
000663,0,0,0,0.0,0,0
000665,0,0,0,0.0,0,0
000668,1,0,1,0.0,0,0
000669,1,0,1,0.0,0,0
000670,0,0,0,0.0,0,0
000672,1,1,0,100.0,0,0
000676,2,2,0,100.0,0,0
000677,2,1,1,50.0,0,0
000678,1,0,1,0.0,0,0
000679,0,0,0,0.0,0,0
000680,1,0,1,0.0,0,0
000681,2,1,1,50.0,0,0
000682,3,1,2,33.33,0,0
000683,1,0,1,0.0,0,0
000685,0,0,0,0.0,0,0
000686,1,0,1,0.0,0,0
000688,2,1,1,50.0,0,0
000690,1,1,0,100.0,0,0
000691,3,1,2,33.33,0,0
000692,1,0,1,0.0,0,0
000695,1,0,1,0.0,0,0
000697,2,1,1,50.0,0,0
000698,0,0,0,0.0,0,0
000700,2,1,1,50.0,0,0
000701,0,0,0,0.0,0,0
000702,0,0,0,0.0,0,0
000703,0,0,0,0.0,0,0
000705,0,0,0,0.0,0,0
000707,0,0,0,0.0,0,0
000708,0,0,0,0.0,0,0
000709,1,1,0,100.0,0,0
000710,1,0,1,0.0,0,0
000711,0,0,0,0.0,0,0
000712,0,0,0,0.0,0,0
000713,1,0,1,0.0,0,0
000715,1,1,0,100.0,0,0
000716,0,0,0,0.0,0,0
000717,0,0,0,0.0,0,0
000718,0,0,0,0.0,0,0
000719,1,1,0,100.0,0,0
000720,2,0,2,0.0,0,0
000721,0,0,0,0.0,0,0
000722,1,0,1,0.0,0,0
000723,0,0,0,0.0,0,0
000725,2,0,2,0.0,0,0
000726,2,1,1,50.0,0,0
000727,1,1,0,100.0,0,0
000728,0,0,0,0.0,0,0
000729,0,0,0,0.0,0,0
000731,1,0,1,0.0,0,0
000733,0,0,0,0.0,0,0
000735,0,0,0,0.0,0,0
000736,1,0,1,0.0,0,0
000737,0,0,0,0.0,0,0
000738,3,1,2,33.33,0,0
000739,3,2,1,66.67,0,0
000750,0,0,0,0.0,0,0
000751,0,0,0,0.0,0,0
000752,0,0,0,0.0,0,0
000753,0,0,0,0.0,0,0
000755,3,0,3,0.0,0,0
000756,0,0,0,0.0,0,0
000757,0,0,0,0.0,0,0
000758,0,0,0,0.0,0,0
000759,0,0,0,0.0,0,0
000761,1,1,0,100.0,0,0
000762,1,0,1,0.0,0,0
000766,0,0,0,0.0,0,0
000767,2,0,2,0.0,0,0
000768,2,1,1,50.0,0,0
000776,0,0,0,0.0,0,0
000777,0,0,0,0.0,0,0
000778,2,0,2,0.0,0,0
000779,2,0,2,0.0,0,0
000782,0,0,0,0.0,0,0
000783,0,0,0,0.0,0,0
000785,0,0,0,0.0,0,0
000786,2,1,1,50.0,0,0
000788,0,0,0,0.0,0,0
000789,0,0,0,0.0,0,0
000790,0,0,0,0.0,0,0
000791,1,1,0,100.0,0,0
000792,3,2,1,66.67,0,0
000793,0,0,0,0.0,0,0
000795,0,0,0,0.0,0,0
000796,0,0,0,0.0,0,0
000797,1,0,1,0.0,0,0
000798,2,1,1,50.0,0,0
000799,0,0,0,0.0,0,0
000800,0,0,0,0.0,0,0
000801,1,0,1,0.0,0,0
000802,0,0,0,0.0,0,0
000803,2,1,1,50.0,0,0
000807,4,1,3,25.0,0,0
000809,1,0,1,0.0,0,0
000810,0,0,0,0.0,0,0
000811,3,0,3,0.0,0,0
000812,0,0,0,0.0,0,0
000813,0,0,0,0.0,0,0
